"","944946_CSF_25H_080224","945949_CTR_25H_CSF_070224","948_CSF_25H_080224","950951947_CSF_25H_080224","952953_CSF_25H_080224","954961_CSF_24H_080224","955961_CSF_24H_080224","956_CSF_24H_080224","957_CSF_24H_080224","958963_CSF_24H_080224","959_CSF_24H_080224","960962963_CSF_24H_080224","32963296.1_VECPAC_200224","330632963296.1VECPAC_200224_2","33283356_VECPAC_190224","333033473689_VECPAC_190224","335233703689_VECPAC_200224","335533643665_VECPAC_200224","935_CTR_LPS_CSF_070224","936_CTR_LPS_CSF_070224_2","937_CTR_LPS_CSF_070224","938942_CTR_LPS_CSF_070224","939940.2_CTR_LPS_CSF_070224","940934_CTR_LPS_CSF_070224","941_CTR_LPS_CSF_070224","942_CTR_LPS_CSF_070224","943_CTR_LPS_CSF_070224","CSF_75_103_20122021","CSF_106_20122021","CSF_105_21122021","CSF_101_102_104_21122021","DSS_7177T0.5_090224","DSS_7274T0.8.2_090224","DSS_73_090224","DSS_76_090224","DSS_B896_090224","DSS_T0.5B897_090224","DSS_T0.7_090224","DSS_T0.8_090224","CSF_81_83_108_113_21122021","CSF_109_21122021","CSF_110_21122021","CSF_113_20122021","DSS_7911180902_090224","DSS_114107_090224","DSS_BT1.8_090224","DSS_T1.5T1.7902_090224","DSS_T1.6901_090224","CSF_88_118_21122021","CSF_89_PROVA_07122021","CSF_115_116_121_122_21122021","CSF_118_120_21122021","DSS_8586T3.878906_120224","DSS_91_120224","DSS_117_120224","DSS_1229087_120224","DSS_906T3.8_120224","DSS_907_120224","DSS_T3.6_090224","DSS_T3.7_090224","CSF_96_20122021","CSF_70_21122021","CSF_97_21122021","CSF_123_124_126_20122021","CSF_129_21122021","DSS_93126T5.6_120224","DSS_95127_120224","DSS_12994128_120224","DSS_911T5.6_120224","DSS_912_120224","DSS_T5.5T5.8_120224","DSS_T5.7_120224","3297_VECPAC_190224","33543353VECPAC_190224","3369367333713677_VECPAC_190224","36743677_VECPAC_190224","36773688_VECPAC_190224","3679_VECPAC_190224","36803629.1_REP_VECPAC_200224","3681_VECPAC_190224","3687_VECPAC_190224","VECPAC_36783675_120224"
"3-Amino-5-methylisoxazole","-1.35304785"," 0.75228472"," 0.31681136"," 1.81030335","-0.52478366","-0.45900576","-0.30672762","-0.05967442"," 0.54058625","-0.31965283","-0.26582338"," 1.30837616","-0.44038715","-0.32449855"," 0.03859920","-0.40219958"," 0.08711371","-0.15740338","-0.09656662","-0.46044908"," 0.40901386"," 0.48376160"," 0.82765268","-0.03302182"," 2.66744038"," 0.39953087"," 0.09964832","-1.20548700","-1.02535917","-0.82381378","-1.32436982"," 1.33164693"," 0.65037487"," 1.67986360","-0.01833007"," 0.55215884"," 0.52329225"," 0.67127058"," 0.18943947","-1.25386498","-1.09733785","-1.23084912","-0.70933460"," 0.25581392","-0.34707318","-0.29934653","-0.21806459","-0.73748630","-0.88922678"," 5.28804881","-1.25630140","-0.66405358"," 1.39360289","-0.69478961","-0.14317702"," 1.28755501","-0.62280019","-0.78566609","-0.43424855"," 0.56136670","-0.95950676","-0.72174591","-0.45120294","-1.34348938","-0.42233094"," 0.16760079"," 0.33231700"," 1.00764574"," 0.10718822","-0.37494197","-0.29948265","-0.72297943","-0.50685558"," 1.53783576"," 0.15854037"," 0.37506598"," 0.03792865","-1.34358611","-0.01047093"," 0.20114046","-0.20313589"," 0.29313110"
"3-Aminobenzoic acid"," 0.4552981646"," 0.5727949853"," 0.5962258580"," 1.7392428574","-0.4275753541","-0.0504769099","-0.6688029564","-0.1311349983"," 1.1225078973"," 0.1086830834","-0.0302643645"," 0.9206931356","-0.7231426958","-0.5715428938","-0.1298513113","-0.4944478515","-0.3517505363"," 0.5756593088","-0.0708994944","-0.0006931801"," 0.8376732751","-0.0010709486"," 0.5111049880"," 0.7444552311"," 1.4031365729","-1.0161120063","-0.9045177505","-1.0398730344","-0.9576193285","-1.0541458314","-0.7002790155"," 1.0015629926"," 0.2739408252"," 1.4656298237"," 0.2611749288","-0.6590942814"," 0.9832083214"," 0.0448077213","-1.0054120870","-0.3943785272"," 2.4194154848"," 0.2872389153","-0.9987471957"," 0.1599331125","-0.2967276215","-1.0741891210","-0.8629052537","-0.3811167714","-1.0227465274","-1.1887366606","-0.8103539570","-1.1229143900"," 3.6328419418","-0.6112802933"," 0.4995986069"," 1.5949986031","-0.4526495194","-0.8393039579","-0.3243228769"," 0.9379206756","-1.0383800673","-1.1579104213","-1.1603524265"," 0.1227323992","-1.1381257475"," 0.9217356646","-0.1343693684"," 1.4577609429"," 0.9752562531","-1.1168155243"," 0.7397175835","-0.9411772793","-1.0121790297"," 2.7996368861"," 0.3820143688"," 0.7421340226"," 1.3558939473","-0.4347092110","-0.7659885125","-1.1729559190","-0.9494372853","-0.2551490835"
"3-Buten-2-one"," 0.297866055"," 0.032911959"," 0.765507740"," 2.330129629","-0.286575788"," 0.066317494"," 1.223345984"," 0.386659557","-0.579979619"," 0.491773639"," 0.486135222"," 0.171173311","-0.236111044","-0.502222670","-0.346479888","-0.629292317"," 0.062679820","-0.651200921","-0.520339753"," 0.825777496","-0.039970685","-0.644514554"," 0.272512735"," 0.237216503"," 1.009689686","-0.188105884","-0.094316609","-0.803878384","-1.074885807","-0.561825387","-0.385211252"," 0.165646489"," 0.242256974"," 2.604965316"," 0.186519509","-0.106648662","-0.031743349"," 0.509418223"," 0.003735158","-1.015747685","-1.822412672","-1.335857056","-0.637608408"," 0.107471154"," 0.431722602","-0.036781519"," 0.167865742","-0.025797983","-0.904824189","-0.652526332","-0.732249133","-0.973004633"," 1.331770987","-0.092019976"," 0.753537642"," 0.935359850","-0.243666023","-0.275011513","-0.307675420"," 0.053302467","-1.130844013","-0.897049261","-0.886199457","-0.864485081","-1.162089639","-0.115490783"," 0.377305514","-0.131939565","-0.251713236","-0.087277469"," 0.439660436","-0.742743901"," 0.689183860","-1.138560289","-0.807170074","-0.467106293"," 0.020662749"," 2.692947615","-0.241007522"," 5.492075237","-0.173758052","-0.029184604"
"3-Heptanol","-0.115117850","-0.021868071","-0.875192093"," 0.511973466"," 0.212330566","-0.052143752"," 0.440649033","-0.406579731","-0.933347506","-0.964815169","-0.278486613","-0.910569969","-0.287995312"," 0.822790475","-0.416955457"," 0.470646445","-0.558143113","-0.963222651"," 1.876962195"," 0.598925782"," 1.275768224","-0.594477587"," 2.947078084"," 2.357873628"," 0.092297430","-0.182753674"," 0.224511623","-0.864961091","-0.371993959","-0.574942034","-1.246766912","-0.883108022","-0.326006388","-1.475924829","-0.272573949"," 0.686011734","-1.488600090","-0.526324893"," 0.397741341","-0.827571155","-1.138900935","-0.724979489"," 0.001280278","-0.767587407","-0.440779432"," 0.139329924","-0.068684941","-0.299991455","-0.566984639","-1.408654517","-1.118951682","-0.729351154","-0.219137429"," 0.937563282"," 0.715022299"," 1.253426891"," 1.145449442"," 1.613280960","-0.346290014","-0.226323943","-0.767890058","-0.763959955","-0.342917487","-1.148992998","-0.790817098"," 0.356753532","-0.511521846"," 0.375416437"," 1.479907202"," 1.617535396"," 0.604874940"," 2.993123198"," 2.383053790"," 0.150287535"," 0.571202577","-0.768486203","-0.419312523"," 2.253015870","-0.479209039","-0.362262446","-0.704162243"," 0.030507221"
"3-Hydroxy-7,3',4',5'-tetramethoxyflavone","-0.32140822","-0.32145211"," 3.24519419","-0.32064620","-0.32127739","-0.32126040","-0.32020156","-0.32028011","-0.32166973","-0.32113855","-0.32111852","-0.32090722","-0.17695334","-0.32127739","-0.32133954","-0.32168713","-0.32169997","-0.32215661","-0.32078370","-0.32028011","-0.32100469","-0.32140822","-0.32127739","-0.32083126"," 3.14095732","-0.32035977","-0.32081589","-0.32226426","-0.32247824","-0.32233145"," 0.87140857","-0.22278383","-0.27492302"," 0.39461103","-0.27942300","-0.32078370","-0.28306345","-0.32047642","-0.32123768"," 0.23926378"," 0.13839083","-0.32244081","-0.30361003","-0.15478047","-0.29954116"," 1.34797548","-0.27960158"," 0.84466202","-0.32213945","-0.32206655","-0.32217921","-0.03537510","-0.32092945","-0.31063468","-0.27993041","-0.07925435"," 0.25318959"," 0.85979115"," 0.24812301","-0.27407059","-0.31085930","-0.32213577","-0.31349677","-0.32249608","-0.32240586","-0.27569507"," 1.63458718","-0.32173270","-0.32145612","-0.32116834","-0.32078370","-0.23027854","-0.31980846","-0.32129118","-0.32191248","-0.32178535","-0.32155035"," 0.05598285","-0.32109179"," 6.87752388","-0.32120217","-0.02095696"
"3-Hydroxymethyl-2-trimethylsilyloxypentane"," 1.068886531"," 1.006871361","-0.851564783","-0.851537398"," 0.193202171"," 0.110715974"," 0.707350853","-0.851508699"," 0.667277987","-0.851575995"," 1.344969510"," 0.456037879","-0.851600890","-0.851586879"," 1.873177803"," 1.354820272","-0.851620007","-0.851655804","-0.851548177"," 0.412627539"," 0.658577735"," 0.340042894","-0.851586879","-0.851551905"," 0.158172648"," 0.544396306"," 1.234811367","-0.725994275","-0.304072448","-0.713622007","-0.841595534","-0.851633333","-0.851546988","-0.851548177","-0.851564783","-0.851548177"," 0.454937305","-0.851524088"," 1.607800023","-0.683261329","-0.538238759","-0.766812456","-0.232883071","-0.851563704"," 1.110065579"," 0.830895621"," 1.822583526"," 0.317169873","-0.573289988","-0.851277731","-0.247007300","-0.588772997"," 1.872026076"," 1.890640969","-0.851541412","-0.851533059"," 2.885354559","-0.851572136","-0.851550576","-0.851610253"," 0.895838744","-0.592526675"," 0.191529343","-0.794340882"," 0.006621839"," 0.211283997"," 1.158097669","-0.851622573"," 0.528160742"," 1.254650953","-0.851548177"," 1.244163726","-0.851471725"," 2.364518535"," 1.472447638","-0.851626699","-0.851608277","-0.851447618","-0.851572329","-0.851451328"," 1.452946275","-0.851553539"
"3-Methyl-3-buten-1-ol","-0.23667008"," 1.28287480","-1.03987163","-1.03488933","-0.37158749","-0.27663080","-1.02854763","-0.59780634","-0.42464467"," 0.00124865"," 0.82786900","-0.12292603","-0.46891805"," 1.28666799"," 0.03662944"," 0.93017147"," 0.21943572","-0.67279517","-0.31354397","-1.02966807"," 1.53519964"," 1.94249877"," 1.25092317","-0.23819108","-1.03610502"," 1.83738626"," 2.57376505","-0.65252868","-0.79765422","-0.42945029","-0.80780533","-1.05234349"," 0.50362972","-1.03685054","-1.03987163"," 0.62387439","-1.04612169","-1.03246785"," 2.84981597","-0.34885668","-0.52292581","-0.27374114","-0.69562572","-0.51059386","-0.11121823"," 0.70536406"," 0.65913541","-1.04101671","-0.37178785","-1.05514724","-0.42804460","-0.12261708","-1.03892923"," 2.80490883"," 1.22159676"," 1.54330427","-0.23586780","-0.37020884"," 0.42374911"," 0.92859835","-0.79549574","-0.42218570","-0.26616449","-0.80317055","-0.22711326","-0.09423933"," 0.71709052","-1.05038570"," 0.88707354"," 2.67235434","-1.03685054"," 0.43228385","-0.33042508","-0.54683595"," 0.46510710"," 0.77243142","-0.85303213","-1.01855517","-0.91813337","-0.24947234"," 0.53144901"," 0.06009257"
"3-Nonene","-0.26061936","-0.26093576","-0.25764370","-0.25512497","-0.25967601","-0.25955354","-0.25191902","-0.25248544","-0.26250490","-0.25867495","-0.25853050","-0.25700703","-0.26096471","-0.25967601","-0.26012411","-0.26263033","-0.26272294"," 0.53999487","-0.25611643"," 7.72864556","-0.25770976","-0.26061936","-0.25967601","-0.25645929","-0.25573955","-0.25305975","-0.25634847","-0.26679158","-0.24119644","-0.14511394"," 0.01971605","-0.26394866","-0.25600699","-0.25611643","-0.25764370","-0.25611643","-0.26080332","-0.25390083","-0.25938974","-0.22939096","-0.23579511","-0.26806454","-0.09284597","-0.25754451","-0.26013042","-0.25760389","-0.25543006","-0.25822258","-0.13988712"," 0.10726837","-0.12678330","-0.16942975","-0.25716728","-0.25570559","-0.25549417","-0.25472594"," 0.32300793","-0.25832006","-0.25633706","-0.26182588","-0.18576391"," 0.10992231","-0.23270704","-0.09826629","-0.17253212"," 0.93359327"," 1.78983566"," 1.66734528","-0.26096471","-0.25888973"," 1.21358499","-0.25361320","-0.24908470","-0.25977543","-0.26425519","-0.26333849","-0.26164412","-0.24686748","-0.25833778","-0.24720867","-0.25913365"," 2.86372237"
"3-Phenyl oxindole","-0.26958658","-0.26966852","-0.26881599","-0.26816373","-0.26934229","-0.26931057","-0.26733351","-0.26748019","-0.27007487","-0.26908305","-0.26904564","-0.26865112","-0.26967601"," 1.04131904","-0.26945833"," 1.27095441"," 1.61385623","-0.27098396","-0.26842049","-0.26748019","-0.26883310","-0.26958658","-0.26934229","-0.26850927","-0.26832289","-0.26762892","-0.26848057","-0.26113899","-0.27158451","-0.04218669","-0.27030180","-0.27044875","-0.26839214","-0.26842049","-0.26881599","-0.26842049","-0.26963422","-0.26784672","-0.26926815","-0.27128179","-0.27165601","-0.27151461","-0.26265475","-0.26879031","-0.26945996","-0.26880568","-0.16732639","-0.14807182","-0.27095192"," 3.75994070","-0.27102615","-0.26143748"," 4.02083292","-0.26831409","-0.26825934","-0.26806040","-0.26790012","-0.23350954","-0.26847762","-0.14247194","-0.22715788","-0.27094504","-0.27089168","-0.21705685","-0.22637149","-0.26842049","-0.26918366"," 6.32094865","-0.26967601","-0.26913867","-0.26842049","-0.26777224","-0.26659952","-0.19329705","-0.27052813","-0.27029074","-0.26985196","-0.19018191"," 0.47799115","-0.26611370"," 0.48431011","-0.26854818"
"4,4'-Dichlorobenzophenone","-0.20096111","-0.20255474","-0.18597362","-0.17328758","-0.19620977","-0.19559293","-0.15714019"," 5.38887654","-0.21045797","-0.19116771","-0.19044018","-0.18276691","-0.20270053","-0.19620977","-0.19846670","-0.21108977"," 1.18266001","-0.22813925","-0.17828126","-0.15999306","-0.18630636","-0.20096111","-0.19620977","-0.18000813","-0.17638300","-0.16288572","-0.17944996","-0.23204868","-0.23981955","-0.23448872"," 0.11801443","-0.21772979","-0.17773005","-0.17828126","-0.18597362","-0.17828126","-0.20188768","-0.16712194","-0.19476788","-0.23393186","-0.24121018","-0.23846017","-0.22749765","-0.18547407","-0.19849848","-0.18577315","-0.17482420","-0.18888927","-0.22751621","-0.03567571","-0.22895993","-0.23321444","-0.18357406","-0.17621195","-0.17514713","-0.17127780","-0.16816049","-0.18938024","-0.17939251","-0.20703796","-0.23908515","-0.22738233","-0.22634447"," 0.54705722","-0.23719103","-0.17828126","-0.19312444","-0.21274482","-0.20270053","-0.19224950","-0.17828126"," 6.87719191","-0.14286462","-0.19671052","-0.21927364"," 0.22096853","-0.20612249","-0.13169713","-0.18946952","-0.13341565","-0.19347807"," 0.16752282"
"4,5-Dihydro-1H-pyrazole","-0.3847191441","-0.3847578047"," 7.3819224749","-0.3840477986","-0.3846038790","-0.3845889148","-0.3836560713","-0.3837252804","-0.3849495331","-0.3844815613","-0.3844639117","-0.3842777622"," 0.2007708144"," 0.1031580955"," 0.4244274847","-0.0655881859","-0.2985204836"," 0.1373756274","-0.3841689427","-0.3837252804","-0.3843636275","-0.3847191441","-0.3846038790","-0.3842108355"," 2.2375410177","-0.3837954547","-0.3841972946","-0.2277156405","-0.1185176286","-0.0005657851","-0.2100654221","-0.2661791119","-0.3841555705","-0.3841689427","-0.3285946266","-0.2555543896","-0.1639511856","-0.3838982234","-0.2376398648","-0.1678321431","-0.1527044569","-0.3683315739","-0.2767152732","-0.3843434365","-0.3358693919","-0.3484325793","-0.3750593318","-0.1389616897","-0.2666298287","-0.1987209905","-0.3118255682","-0.1056661366"," 0.6976560295"," 0.1351185244","-0.3840929103","-0.3285642724","-0.2607184559","-0.0664573905","-0.3008842716","-0.3848665654","-0.0946422967","-0.2031303858","-0.2857296420","-0.2014498960","-0.0372038000"," 1.4738881640"," 2.0670352433"," 2.0869084391","-0.3210303587"," 1.5335635650","-0.3841689427","-0.3838630788","-0.3833097533","-0.3540932546","-0.3126254710"," 0.4780762879"," 0.3712872028","-0.3830388359","-0.3282138176","-0.3533281630","-0.2175386272"," 0.6984847999"
"4-[2-(4,7-Dimethoxy-2H-1,3-benzodioxol-5-yl)ethenyl]-2-methoxyphenol","-0.597387664","-0.872777297","-0.142410486"," 3.577048015"," 0.756470262","-0.778867537"," 1.421223729"," 0.582373673"," 0.096178721"," 1.136878923"," 0.546562291","-0.005431579"," 0.249231937","-0.928350818"," 0.579950997","-1.119725393","-0.599986620","-0.235997931"," 0.696941478","-0.935879165"," 0.946497467"," 0.068992679","-0.750011410","-0.030171041"," 1.137640752"," 0.180159820","-0.937833988","-0.988062893","-1.139766091","-0.407514952","-0.905238469"," 0.165608640"," 0.089551475"," 2.156216509"," 0.881657103","-0.477372790"," 0.826631014"," 0.657287643","-0.229563097","-0.813463214","-0.653919667","-0.634957237","-0.623503317","-0.080172710"," 0.474687512"," 0.108352199","-0.016296963"," 1.169726589","-0.583347648","-0.845732409","-0.730987003","-0.884418150"," 0.915242316","-0.685527147"," 0.923475148"," 1.261697021","-0.220971068","-0.947552000","-0.945818744","-0.129636032","-0.792212388","-0.850299893","-1.085053368","-1.247492808","-0.845519567","-0.771531073","-0.442763293","-0.386908715","-0.938322086","-1.102287303"," 2.605036499"," 1.816765737","-0.226599923"," 0.839030603"," 0.414390597"," 0.310695489","-0.842805658"," 1.839476099"," 0.346489666"," 2.669265676","-1.094472864","-0.942512804"
"4-Aminobutanoic acid"," 0.216827831"," 2.213668061"," 0.238162873","-0.081810644","-0.329168251"," 0.070388155","-0.755534532","-0.688911002"," 1.857252340","-0.444593382","-0.721246767"," 0.244402559","-0.910046165","-0.909235507","-0.289030515"," 2.011141949","-0.497414157"," 1.109300884","-0.094964783"," 0.658061951","-0.345205691"," 1.076077766"," 0.159843514"," 0.483310476","-0.398084183","-0.852642459"," 0.025184265"," 0.649660009","-0.914682113","-0.517680787"," 1.456885453"," 1.540068972"," 0.317549592","-0.688373171"," 1.721372145"," 0.496464922","-0.909944645","-0.117690809","-0.730852098","-0.161972112","-0.030771312","-0.651544486","-0.374761314"," 1.618528498","-0.005835524","-0.506489228"," 0.028928015"," 0.059626347","-0.547494312","-0.912814849"," 0.607431874","-0.913857173"," 3.741659059","-0.474552847"," 1.094812077"," 2.984412282","-0.905732316","-0.908382539","-0.907135130","-0.616376863","-0.738028022","-0.913128777","-0.912999155","-0.914763000","-0.810677030"," 1.104598502","-0.908850168"," 1.211386143","-0.910046165","-0.725721471","-0.906996341","-0.512367600"," 0.332185105","-0.679509752","-0.097869945","-0.375106809"," 1.914475782","-0.169004765","-0.908393690","-0.761773870","-0.908894334"," 0.025295159"
"4-Hydroxybutanoic acid","-0.5029870","-0.5067639","-0.4674664","-0.4374003","-0.4917262","-0.4902643","-0.3991308","-0.4058921","-0.5254947","-0.4797765","-0.4780522","-0.4598665","-0.5071094","-0.4917262","-0.4970752","-0.5269920","-0.5280975","-0.5673996","-0.4492354","-0.4058921","-0.4682550","-0.5029870","-0.4917262","-0.4533281","-0.4447365","-0.4127477","-0.4520052"," 3.6895079"," 1.0857667","-0.2663068"," 1.6790886","-0.5427290","-0.4479290","-0.4492354","-0.4674664","-0.4492354","-0.5051830","-0.4227877","-0.4883089"," 2.3092731"," 1.5602561"," 2.2814499"," 1.7514240","-0.4662825","-0.4971505","-0.4669913","-0.4410421","-0.4743765"," 2.9036098"," 2.6274412"," 1.5653993"," 2.0144255","-0.4617794","-0.4443311","-0.4418075","-0.4326371","-0.4252490","-0.4755401","-0.4518691","-0.5173892"," 1.0409872"," 1.8529768"," 1.4910437"," 1.6077352"," 1.2951013","-0.4492354","-0.4844140","-0.5309145","-0.5071094","-0.4823403","-0.4492354","-0.4193542","-0.3652974","-0.4929130","-0.5463879","-0.5354453","-0.5152195","-0.3388303","-0.4757517","-0.3429032","-0.4852521","-0.4551215"
"4-Methoxyphenol","-0.95709118","-0.95890333","-0.94004857"," 2.32591416"," 1.36057344","-0.95098690","-0.90726146"," 1.78838747","-0.96789026","-0.94595489","-0.94512759","-0.93640215","-0.01025826","-0.12726137"," 0.19192994","-0.17491228"," 0.27285821","-0.51346521","-0.93130143","-0.91050552"," 2.01116178"," 0.01384279"," 1.96914691"," 0.74697436"," 3.19626492"," 1.69474020"," 0.64429595","-0.36104598","-0.61498679","-0.56808060","-0.25436985"," 1.73378775"," 1.33336070","-0.93130143","-0.25440321","-0.93130143","-0.95814480","-0.91861192"," 1.40783115","-0.54810100","-0.58343471","-0.62483968","-0.46794966","-0.93948052"," 0.46218825","-0.93982061","-0.92737032","-0.94336402","-0.47887452","-0.68279352","-0.49409821","-0.55016575"," 0.26900053"," 1.12503787"," 0.07953197","-0.92333764"," 1.07485838"," 0.75391025","-0.93256505"," 1.70497838","-0.65621719","-0.50066348","-0.46983265","-0.48490888","-0.63402741"," 0.06370039"," 0.78838713","-0.97049069","-0.95906911"," 0.94213391"," 2.14163378"," 0.79080080"," 0.43444689"," 0.62697496","-0.37869087","-0.15189912","-0.23225727","-0.25910041","-0.17969686"," 1.43353176","-0.39169062","-0.10782881"
"4-Methylquinoline-2,7-diol","-0.24513224","-0.24515587","-0.24490997","-0.24472184","-0.24506177"," 4.89606466","-0.24448238","-0.24452469","-0.24527307","-0.24498700","-0.24497621","-0.24486242","-0.24515803"," 3.81035913","-0.24509524","-0.24528244","-0.24528936","-0.24553528","-0.24479590","-0.24452469","-0.24491491","-0.03525424","-0.24506177","-0.24482151","-0.24476775","-0.24456758","-0.24481323","-0.24559326","-0.24404654","-0.24562945","-0.22473088","-0.24538091","-0.24478772","-0.24479590","-0.24490997","-0.24479590","-0.24514598","-0.24463041","-0.24504039","-0.24562119","-0.24572912","-0.24568834","-0.24552577","-0.24490257","-0.24509572","-0.24490700","-0.24474463"," 3.35884553","-0.24552604","-0.24548678","-0.24554745","-0.19624302","-0.24487439","-0.24476521","-0.24474942","-0.24469204"," 5.08113980","-0.24496049","-0.24481238","-0.24522235","-0.14424326","-0.20096291","-0.05031191"," 1.01437930","-0.15969577","-0.24479590","-0.24501602","-0.24530699","-0.24515803","-0.24500304","-0.24479590","-0.24460892","-0.24427067","-0.24506920","-0.24540381","-0.24533534","-0.24520878","-0.24410506","-0.24496182","-0.24413055","-0.24502126","-0.24483273"
"4-Methylvaleric acid","-0.522458440"," 2.133127048"," 0.360590845"," 2.959371890","-0.292543171"," 0.071554960","-0.005787619"," 0.137621183"," 0.017317956"," 0.103816529","-0.242039910"," 0.820424787"," 0.051580812","-0.138290310"," 0.685914439","-0.257821195"," 0.261948053"," 0.465277933"," 0.053718173","-1.740034861"," 0.685279497"," 0.258596632"," 0.406837963","-1.782569548"," 3.321769174"," 0.416915201"," 0.786768490","-1.332385509","-0.921103084","-0.646013024","-0.187371502"," 1.324462350"," 0.713833467"," 0.304516457"," 0.366441730"," 0.664952862"," 0.396929348","-0.477491240","-0.260763868","-0.962101005","-1.563221143","-1.490249183","-0.951084383"," 1.106286002"," 0.372146481"," 0.076930634"," 0.389608022"," 1.088771059","-1.017298686","-0.250913890","-1.400866261","-0.993928634"," 2.902024690"," 0.008849605"," 1.084683426","-0.739246830","-0.200876086"," 0.235905080"," 0.534276978"," 0.945958642","-1.431839585","-0.620567267","-0.551300275","-0.740080277","-0.848625368"," 0.833548862"," 1.631729280","-0.937021577","-0.672525971","-1.808584112","-0.530973544","-0.833548021","-0.374144442"," 0.895009316","-0.777664253","-0.009415656","-0.603637130","-0.399837602"," 0.052171568","-0.540903231","-0.386341218"," 0.516001486"
"4-Oxohexanoic acid","-0.21388929","-0.19114006"," 0.02644293"," 3.20421839"," 0.91392503","-0.15405100"," 3.27146879"," 0.46041595","-0.55869143"," 0.12087406","-0.47323539"," 1.92131347"," 0.23219994","-0.33540263","-0.03553584","-0.68966975"," 0.37416819","-0.39437401","-0.07248487"," 1.82832015","-1.57199885","-0.63453836"," 0.82368350"," 1.37141087","-0.21313191","-0.34956502","-1.55326439","-0.68005145","-1.07811801","-0.97683068","-0.53384762","-1.65786026"," 0.82801036"," 0.79372146","-0.26946055","-0.26157358"," 1.30889186"," 0.19864241","-0.63990181","-0.70015807","-1.36341907","-1.21617603","-0.34431667","-0.26794531"," 0.65427876"," 0.61642104"," 1.08209151"," 0.25569743","-0.92387362","-0.93372680","-0.50911987","-0.96209137"," 1.45570360","-0.54299401"," 1.24549556"," 1.59509175","-0.38010025","-0.07559419","-0.34431667"," 1.09686538","-1.12442859","-0.97174983","-0.84599617","-0.83695003","-1.15383937"," 1.06654027"," 0.44005947"," 0.66865021","-0.46712871"," 0.38735657","-1.55007105","-0.13174706"," 0.54777925"," 1.73164909","-0.34431667","-0.34431667"," 0.18075392"," 0.27415974","-0.15655164"," 0.72199169","-0.11189100","-1.55685714"
"4-Phenyl-2,3-dihydro-1H-1,5-benzodiazepin-2-one","-0.355577731","-0.356179242","-0.349920742","-0.345132431","-0.353784350","-0.353551525","-0.339037641","-0.340114449","-0.359162297","-0.351881239","-0.351606632","-0.348710378"," 0.907110464"," 2.296612286"," 2.264556470"," 1.330537823"," 2.738205830"," 1.844929612","-0.347017282","-0.340114449","-0.350046336","-0.355577731","-0.353784350","-0.347669083","-0.346300789","-0.341206274","-0.347458403"," 0.099804572","-0.370244746","-0.368232640","-0.280861982","-0.361907023","-0.346809228","-0.347017282","-0.349920742","-0.347017282","-0.355927464","-0.342805227","-0.353240113"," 0.101879233"," 0.449057271","-0.369731653","-0.223725011","-0.349732188","-0.354648218","-0.349845074","-0.345712422","-0.351021246","-0.221726836"," 6.694099530"," 0.170555320","-0.009848782","-0.349015036","-0.346236227","-0.345834312","-0.344373845","-0.343197222","-0.351206563","-0.347436721","-0.357871424","-0.264430307","-0.365550350","-0.217054832"," 0.619255162","-0.369252619","-0.347017282","-0.352619802","-0.360025461","-0.356234272","-0.352289558","-0.347017282","-0.342258420","-0.333649364","-0.353973357","-0.362489746","-0.360747033","-0.357525881"," 0.535128673","-0.351240262","-0.330082875"," 0.986623740"," 1.604082580"
"4-tert-Butyldimethylsiloxy-3-penten-2-one","-0.69725399"," 1.03458156","-0.47718708"," 1.33879708","-0.29864198"," 0.29015414","-0.67000277"," 0.44214921"," 0.27397698"," 0.61328486"," 0.38595615","-0.68593944","-0.69833570"," 1.64186568","-0.69570277"," 1.21245732"," 2.14401519","-0.71415545"," 0.50048893","-0.67177690"," 0.76586699"," 0.28612254","-0.69429924","-0.68422381"," 2.30403582","-0.67357578"," 0.66469181","-0.24250696","-0.42263136","-0.42318262","-0.25278219"," 3.17595546","-0.68280713"," 2.64509598"," 0.04119927","-0.68314992","-0.69783020","-0.67621019","-0.69340256","-0.33630927","-0.40396505","-0.41662464"," 0.07667291"," 1.01907943","-0.10805608","-0.68780894","-0.68100005","-0.68974679","-0.39498618","-0.60523848","-0.12151928","-0.40408801","-0.68644139"," 2.50470683","-0.68120087","-0.67879462","-0.67685604","-0.69005212","-0.68384098"," 1.87833952","-0.39750524","-0.40716702","-0.37884763","-0.41771862","-0.45348618","-0.68314992"," 2.32301284","-0.70458201","-0.69833570"," 1.65820091","-0.68314992","-0.67530928","-0.66112512","-0.69461065","-0.70864213","-0.70577086","-0.70046373","-0.65418032"," 2.11482236","-0.65524902","-0.69260046"," 1.01849083"
