"","Feci_LPS_2.5H_944_26022024","Feci_LPS_2.5H_945_26022024","Feci_LPS_2.5H_946_26022024","Feci_LPS_2.5H_947_26022024","Feci_LPS_2.5H_948_26022024","Feci_LPS_2.5H_949_26022024","Feci_LPS_2.5H_950_26022024","Feci_LPS_2.5H_953_26022024","Feci_LPS_24H_954_26022024","Feci_LPS_24H_955_26022024","Feci_LPS_24H_956_26022024","Feci_LPS_24H_957_27022024","Feci_LPS_24H_958_26022024","Feci_LPS_24H_959_26022024","Feci_LPS_24H_961_27022024","Feci_LPS_24H_962_27022024","Feci_LPS_24H_963_27022024","Feci_LPS-24H960REP_01032024","Feci_Vecpac-CRE_3296_01032024","Feci_Vecpac-CRE_3303_01032024","Feci_Vecpac-CRE_3304_01032024","Feci_Vecpac-CRE_3305_01032024","Feci_Vecpac-CRE_3306_01032024","Feci_Vecpac-CRE_3318_01032024","Feci_Vecpac-CRE_3328REP_01032024","Feci_Vecpac-CRE_3330_01032024","Feci_Vecpac-CRE_3334_01032024","Feci_Vecpac-CRE_3335_01032024","Feci_Vecpac-CRE_3347_01032024","Feci_Vecpac-CRE_3352REP_01032024","Feci_Vecpac-CRE_3355REP_01032024","Feci_Vecpac-CRE_3356_01032024","Feci_Vecpac-CRE_3370_01032024","Feci_Vecpac-CRE_3664_29022024","Feci_Vecpac-CRE_3665_29022024","Feci_Vecpac-CRE_3689_29022024","Feci_LPS_CTRL_934_23022024","Feci_LPS_CTRL_935_23022024","Feci_LPS_CTRL_936_23022024","Feci_LPS_CTRL_937_23022024","Feci_LPS_CTRL_938_26022024","Feci_LPS_CTRL_939_26022024","Feci_LPS_CTRL_940_26022024","Feci_LPS_CTRL_943_26022024","Feci_LPS-CTRL_941REP_01032024","75_feci_100322","100_rep_110322","101_rep_110322","102_feci_100322","103_rep_110322","104_feci_100322","105_rep_110322","106_110322","Feci_DSS-T0_896_27022024","Feci_DSS-T0_897_27022024","Feci_DSS-T0_T0.5_27022024","Feci_DSS-T0_T0.6_27022024","Feci_DSS-T0_T0.7_27022024","Feci_DSS-T0_T0.8_27022024","81_feci_100322","83_feci_20_81","84_feci_100322","108_rep_110322","109_110322","110_110322","113_110322","Feci_DSS-T1_111_27022024","Feci_DSS-T1_B901_27022024","Feci_DSS-T1_B902_27022024","Feci_DSS-T1_T1.5_27022024","Feci_DSS-T1_T1.6_27022024","Feci_DSS-T1_T1.7_27022024","Feci_DSS-T1_T1.8_27022024","88_feci_100322","89_feci_100322","115_110322","116_110322","118_110322","120_110322","121_REP_140322","122_110322","Feci_DSS-T3_90_28022024","Feci_DSS-T3_91_28022024","Feci_DSS-T3_906_28022024","Feci_DSS-T3_907_rep_28022024_2","Feci_DSS-T3_T3.6_28022024","Feci_DSS-T3_T3.7_28022024","Feci_DSS-T3_T3.8_28022024","70_feci_09032022","96_feci_100322","97_rep110322","124_110322","125_110322","126_110322","129_110322","Feci_DSS-T5_128_28022024","Feci_DSS-T5_B911_28022024","Feci_DSS-T5_B912_28022024","Feci_DSS-T5_T5.5_28022024","Feci_DSS-T5_T5.6_28022024","Feci_DSS-T5_T5.7_28022024","Feci_DSS-T5_T5.8_28022024","Feci_Vecpac-WT_3297REP_01032024","Feci_Vecpac-WT_3371REP_01032024","Feci_Vecpac-WT_3302_29022024","Feci_Vecpac-WT_3307_29022024","Feci_Vecpac-WT_3319_29022024","Feci_Vecpac-WT_3329_29022024","Feci_Vecpac-WT_3336_29022024","Feci_Vecpac-WT_3337_29022024","Feci_Vecpac-WT_3353_29022024","Feci_Vecpac-WT_3354_29022024","Feci_Vecpac-WT_3369_29022024","Feci_Vecpac-WT_3673_28022024","Feci_Vecpac-WT_3674_28022024","Feci_Vecpac-WT_3675_28022024","Feci_Vecpac-WT_3677_28022024","Feci_Vecpac-WT_3678_28022024","Feci_Vecpac-WT_3679_29022024","Feci_Vecpac-WT_3680_29022024","Feci_Vecpac-WT_3681_29022024","Feci_Vecpac-WT_3687_29022024","Feci_Vecpac-WT_3688_29022024"
"1,4-Butanediol","-0.27547067","-0.27505296","-0.15415161","-0.27299269","-0.27574348","-0.27974553","-0.27537207","-0.27565127","-0.27461300","-0.27337244","-0.27328288","-0.27735837","-0.27485492","-0.27633250"," 6.77803861","-0.27389977"," 0.69410670"," 0.49547884","-0.27098460"," 1.23557478","-0.27416510","-0.28626527","-0.28255568","-0.27067008","-0.23715862","-0.26986116"," 1.46438230"," 2.80428676"," 0.55454238","-0.26005276","-0.26658332","-0.27105579"," 0.79694282","-0.26798867","-0.25880717","-0.27885010","-0.27063252","-0.26818717","-0.26658390","-0.26651232","-0.27119958","-0.27450816","-0.27336671","-0.27280066","-0.27886698","-0.27515338","-0.14044522","-0.09171424","-0.05941157","-0.13419192","-0.27968194","-0.07311153"," 0.00465764","-0.27560246","-0.27641448","-0.27558391","-0.27843228","-0.27696856","-0.27781236"," 0.02368810"," 0.07630855"," 0.05295393","-0.08419378","-0.01203833","-0.28088677","-0.28302298","-0.26539784","-0.25248671","-0.27045307","-0.26341108","-0.25429218","-0.27369984","-0.26439060","-0.27029117"," 0.10171250"," 0.15339065","-0.03389524","-0.18237916","-0.01379888","-0.08006740","-0.27378828","-0.25000629","-0.26487910","-0.25521873","-0.25478613"," 7.32377912","-0.27028444","-0.27186224","-0.05789669","-0.02890301","-0.26464584"," 0.07536015","-0.28123956","-0.27692483","-0.11166777","-0.26922255","-0.26860318","-0.27969925","-0.27587118","-0.27018982","-0.27669259","-0.26512901","-0.26791317","-0.27870955","-0.27071473","-0.26529594","-0.26752340","-0.26656971","-0.27603399","-0.12375919","-0.08967027","-0.27304400","-0.26281653","-0.26592689","-0.26341260"," 0.11302482","-0.26460389","-0.26679581","-0.27044676"," 1.56920261"," 0.46318274","-0.02542637","-0.26966139"
"1,5-Anhydroglucitol"," 0.290017035"," 0.656805874","-0.101601065"," 0.329230382"," 0.184495604"," 0.142323338"," 1.202887362"," 0.315872898","-0.522080726"," 0.850139542"," 0.117968367","-0.214532430","-0.294628540","-0.528094235"," 0.263322995","-0.369197498","-0.237235417"," 0.195358272"," 2.068133908"," 0.188167101"," 0.755695361"," 0.898716444","-0.698329613","-0.496862297","-0.760256233","-0.507505855","-0.369674470","-0.453938846"," 0.354502982","-0.746846791","-0.695810346","-0.306844465","-0.616712218","-0.738864994","-0.837429606","-0.379468455","-0.839873177","-0.673161690"," 0.026551164"," 0.110210458"," 0.796116152"," 0.627183136"," 0.231802228"," 0.145829689","-0.566714798","-0.576989562","-0.694707402"," 0.232317380","-0.310830298","-0.373277065","-0.294100759","-0.765508996","-0.381407379"," 4.077825128","-0.872005131"," 2.902761816"," 1.283249581"," 5.971422321","-0.884509848","-0.432642819","-0.560908416","-0.342588067","-0.472713191"," 0.234722529","-0.443021775","-0.263529284","-0.945926573","-0.922296640","-0.931903599","-0.899087012","-0.856875284","-0.945794873","-0.923373679","-0.192962880","-0.804356096","-0.552533548","-0.192013048","-0.604647827","-0.268023425"," 0.164618385"," 0.345328332","-0.389372410","-0.498620802","-0.546504744","-0.351470609","-0.945943070","-0.945938902","-0.941601803"," 0.656225121"," 0.554622731"," 0.149831849"," 0.651074858"," 0.105006475"," 0.385120923"," 0.074265409","-0.835717015","-0.423265394","-0.902880288"," 0.794935439","-0.240877779"," 0.352954989","-0.525470969"," 2.410586974","-0.915191696"," 0.645710758"," 1.542608745","-0.448900664"," 0.629904980","-0.780860678"," 0.185596902"," 1.142062485","-0.728048296","-0.584851027","-0.056357545","-0.008493623","-0.642469904","-0.126192521"," 0.076878907"," 0.710444231","-0.673186702"," 2.357264450"," 1.688522254"," 0.099220442"
"1,7-Dimethyl-4-(1-methylethyl)cyclodecane","-0.262429882","-0.262400816","-0.262596736","-0.262257458","-0.262448864","-0.262727335","-0.262423020","-0.262442448","-0.262370202","-0.262283882","-0.262277650","-0.262561232","-0.262387036","-0.262489849","-0.261911946","-0.262320574","-0.262258518","-0.261865170","-0.257125921"," 0.064852548","-0.262339037"," 0.061892415"," 0.282498633"," 0.346540619"," 6.013912871"," 0.185471988"," 0.288202022"," 0.014587471","-0.197729440"," 0.036164860","-0.261811480","-0.168672028"," 0.316529401","-0.029234817"," 0.068904219","-0.091799770","-0.262093233","-0.261923080"," 1.639613302","-0.261806540","-0.262132690","-0.262362908","-0.262283483"," 5.121382257","-0.262666203","-0.073971818","-0.262540576","-0.262869380","-0.262050534","-0.262673975","-0.068746347","-0.262575243","-0.078692541","-0.262439051","-0.262495554","-0.262437760","-0.262635956","-0.262534108"," 1.018992225","-0.261741595","-0.048474189"," 0.011136010","-0.030586990","-0.013855580","-0.020637948"," 0.074778238","-0.261728993","-0.260830609","-0.262080746","-0.261590750","-0.260956237","-0.262306663","-0.261658906","-0.222342652"," 0.135846514","-0.150988543"," 0.022448986"," 0.073466241"," 0.059342284","-0.052372380","-0.262312817","-0.260658016"," 7.043820809","-0.261020708","-0.260990607","-0.262183954","-0.262069013","-0.262178799","-0.096748636","-0.261539152","-0.261676667","-0.262837092","-0.262831293","-0.016088208","-0.260893680","-0.261995124","-0.261952027","-0.262724115","-0.262457750","-0.262062428","-0.262514905","-0.261710287","-0.178250518","-0.262655249","-0.262098953","-0.224867818","-0.261876893","-0.261810534","-0.262469078","-0.262125874","-0.261769750","-0.262261029","-0.261549380","-0.261765805","-0.213542453","-0.115448219","-0.254932466","-0.240684853","-0.002538306","-0.230453575"," 0.113667339","-0.256230689","-0.262025659"
"11-Hydroxy-.DELTA.-9-tetrahydrocannabinol","-0.03835850","-0.54434513","-0.04434075","-0.16534562","-0.10340768","-0.57158287"," 2.38105526","-0.01348361","-0.57004266","-0.56967038","-0.56964350","-0.37338103","-0.57011525"," 3.63156004"," 1.81803280","-0.55191366","-0.16134707","-0.56786459","-0.56895382","-0.01069271","-0.56990825"," 1.55956431","-0.57242617"," 0.09964160","-0.55880302","-0.03099970","-0.56960800","-0.25122355","-0.17118901"," 0.92851024","-0.56763304","-0.56897518"," 1.78064795"," 0.16184695","-0.56529951","-0.57131416"," 0.02490603","-0.56811434"," 0.02141913","-0.56761173","-0.56901833","-0.19455574","-0.18205129","-0.56949879"," 1.21248869","-0.57020482","-0.57077743","-0.57219547"," 2.89178558","-0.57135274"," 2.25857776","-0.57092694","-0.57109145"," 4.73243282","-0.57058326","-0.45146417","-0.57118878","-0.57074953"," 0.72861231","-0.56733164","-0.57190673","-0.57092135","-0.57204795","-0.28719909"," 0.57065984","-0.57256640"," 1.08909779","-0.56340281","-0.56879431","-0.43982676"," 1.44177733"," 1.21300300","-0.56697503","-0.56874572"," 2.65301400"," 1.42845373","-0.57252603","-0.57268154"," 1.39135584","-0.56986689","-0.39457142","-0.56265846","-0.56712162","-0.56422266","-0.56409284","-0.56923942"," 3.46535260","-0.56921719","-0.56977520","-0.32978123","-0.56705163","-0.57205622","-0.57203121","-0.57073641"," 0.91632901","-0.56842505","-0.56823918","-0.57156898"," 1.06975404","-0.56871531"," 0.34870325","-0.56719662","-0.56803211"," 0.72732853","-0.13991422"," 0.15950226","-0.15753569"," 0.06181857"," 0.66286031","-0.56898893","-0.56745307","-0.56957182","-0.56650267","-0.56743605","-0.56668154"," 0.36912477","-0.56703904","-0.27348326","-0.56879241"," 0.11387597","-0.56862539","-0.01329676"," 0.96500678"
"11-Methyldodecanol","-0.213191990","-0.182676822","-0.190775692","-0.173026500","-0.249434246"," 0.270705297","-0.247707139","-0.105390352","-1.006778173","-0.081056018","-0.216080158","-0.280431353","-0.339237544","-0.004833466","-0.099906024","-0.308889783","-0.093687042","-0.990784262","-0.276373021","-0.357010836","-0.328978532","-0.212039759"," 0.288388269"," 0.235604688"," 8.935409585","-0.252180535","-0.162383023","-0.309442583","-0.470944623","-0.013184306"," 0.045624758","-0.258112005","-0.367954747","-0.244206166"," 0.071939312"," 0.925560754"," 0.501528293"," 0.433184001"," 0.011984926"," 0.018166323","-0.136471943","-0.288367797","-0.350535178","-0.203246655"," 2.860796175","-0.522074012","-1.012173755","-0.774432779","-0.762813496","-0.441713050","-0.079229816","-0.399990884","-0.560268114","-0.355354711","-0.349966150","-0.236360433","-0.327502242","-0.357512894","-0.296045883"," 0.066165252","-0.396501254","-0.259713536","-0.316005173","-0.637745876","-0.036420158"," 0.572529804","-0.779979935"," 0.434165034"," 0.025664228"," 0.884870605"," 0.254605785","-0.196898519"," 0.273548124","-0.018399083"," 0.616648945","-0.493236794"," 0.027261174"," 0.587550591"," 0.226404513","-0.589116712","-0.429225592"," 0.705019659"," 0.062868609","-0.012763486"," 0.140685606"," 0.072630616","-0.308602055","-0.005101289","-1.004814221"," 0.056216605","-0.732980075","-1.021564129","-0.730954014","-0.877252424","-0.215404478","-0.005491240"," 0.285907029"," 3.495308135"," 0.247492616"," 0.162340961","-0.304656077"," 0.041966625"," 1.196236972"," 0.991988960","-0.236595514","-0.052195203","-0.204541607","-0.241437724","-0.146662747","-0.206745900"," 0.034912195"," 0.391467745"," 0.029976885","-0.118506855"," 0.058275899"," 0.492117049"," 0.096015440","-0.042106139","-0.374343621","-0.053893580","-0.221880042","-0.218626691","-0.148615807"
"12-Oxooctadecanoate","-0.417450635"," 0.158681737"," 0.069097629","-0.637489296","-0.893551098","-0.793610448"," 0.280707902","-0.908952212","-0.974790205","-0.690508126","-0.003237589"," 1.651196210"," 3.382953255"," 0.200761591","-1.073167318","-0.870896529"," 0.296383587","-1.124955173"," 0.808778773","-1.124526166","-1.124993389","-0.133953584","-1.082763339","-1.087231094"," 0.319376398"," 0.377820685","-1.124987774"," 2.088871063"," 0.233438357"," 1.365727911"," 1.894328897","-1.124975941"," 1.750961836","-0.453603833"," 0.923613598","-0.026213162"," 0.192136708","-0.210953022","-0.353291613","-0.323569981"," 1.010480746","-0.973315330","-1.083935209"," 4.095195243","-1.125019773","-0.377478003","-0.524707361","-0.504657574","-0.333537892","-0.459400067","-0.276665593","-0.421707312","-0.237153036","-0.865846846"," 1.140274099","-0.014138699"," 0.540036305"," 0.751459176","-0.611881238","-0.169771704","-0.319086096","-0.362207764","-0.231749766","-0.365857419","-0.409517400","-0.159858996"," 1.268996461","-0.074083007"," 0.586086345","-0.044999144","-0.632496308"," 0.806480880"," 0.138193637","-0.620175692","-0.269365063","-0.287315091","-0.373556480","-0.363751070","-0.287908539","-0.075597313","-0.353657871","-0.695201260","-0.470740518","-0.832756557","-0.680205738","-0.582996809","-0.568000776","-0.708732989","-0.280169351","-0.450681755","-0.379837064","-0.200215456","-0.416181913","-0.386796218","-0.448696144"," 2.100734070"," 0.185831270","-0.535555318","-0.525805456"," 2.356244196"," 0.442598346"," 0.892549055"," 2.272414449","-1.125018890","-0.582390431","-1.124943619"," 0.340589101"," 3.202915454","-1.125003876","-0.132911707"," 0.351000224"," 1.960638541"," 1.885522941","-0.021750142","-0.773617156","-0.322863103"," 0.150017941"," 1.523367376"," 0.027455253","-0.901527789"," 0.513113331","-0.152467968","-0.341892388"
"13-Docosenamide","-0.3859500261","-0.2427134703","-0.3146125115","-0.7453930119","-0.3544358166","-0.1015908394","-0.5382740224","-0.3783235070","-0.5417555644","-0.4647453280","-0.4696308813","-0.4767673519","-0.5208067558","-0.4208243149"," 0.5131244607","-0.3540833065","-0.3270469719","-0.3233551671","-0.1846254264","-0.2754520902","-0.2127482862"," 0.8141610843","-0.1436622996"," 0.0889714328"," 5.9280653639","-0.4562939187","-0.3550350574","-0.3492685337","-0.2812342839","-0.1362991611"," 0.0778575889"," 0.0150444236","-0.1756392798"," 0.2173831266","-0.2175813326"," 0.2147642644"," 0.7038729584","-0.7307286762","-0.4262950491","-0.4831082050","-0.5075392637","-0.5526561338","-0.6116785684","-0.7453923488"," 7.5977131864","-0.2084892053","-0.4027520742","-0.3608154437","-0.1801548469","-0.3865521420","-0.2711765746","-0.3322213706","-0.0555085514","-0.4212454455","-0.3899011269","-0.3185740033","-0.2196882079","-0.0944680651","-0.4436258587","-0.3029382038","-0.2674713316"," 0.0855066549","-0.3165113128"," 0.0526046621","-0.1535279278"," 0.1520398526","-0.2243537846"," 0.0330533169"," 1.2790129365"," 0.0225912857","-0.7448514506","-0.2326355410"," 0.5446979297"," 0.0202533638"," 0.0893189346"," 0.3955811328","-0.1268331941","-0.0428238192","-0.0637736133","-0.1210821057","-0.2112833070"," 0.6246103172","-0.1241396715"," 0.0782444434"," 0.9848716326"," 0.3544186497","-0.3014915681","-0.0851252155","-0.4278679139","-0.2184797849","-0.3714062419","-0.3007099403","-0.3203602450","-0.2990100330","-0.2941516455","-0.2145896162"," 0.1340976560"," 2.6850397154"," 1.4257149435","-0.0002060655","-0.2670917387","-0.0784299071"," 0.0772302941"," 0.4715512908","-0.4132141540"," 0.3033722305","-0.2240272423"," 1.6759288631"," 0.0137901193","-0.2224755127","-0.1119669217"," 0.0647471567","-0.1014074846","-0.3036819046","-0.4399772943","-0.0500416429","-0.4179895853","-0.3807572561","-0.2186926802"," 0.3814423103","-0.2314566977","-0.2577428415","-0.7453815083"
"17-alpha-Hydroxypregnenolone","-0.25431601","-0.25430983"," 0.15385619","-0.25427934","-0.25432005","-0.25437928","-0.25431455","-0.25431869","-0.25430332","-0.25428496","-0.25428364"," 1.72768348","-0.25430690","-0.25432877","-0.25420586","-0.25429277","-0.25427957","-0.25419591","-0.25424963","-0.25422381","-0.25429669","-0.25447576","-0.25442086","-0.25424497","-0.25374905","-0.25311047","-0.25428189","-0.25421906","-0.25427384","-0.25408785","-0.25418449","-0.25425068","-0.25430219","-0.25420529","-0.25406942","-0.25436602"," 2.44587471","-0.25420823","-0.25418450","-0.25418344","-0.25425281","-0.25430177","-0.25428488","-0.25427650","-0.25436627","-0.04115438","-0.15352483","-0.24183147","-0.24949423","-0.16144741","-0.22700267"," 0.23957679","-0.24540423","-0.25431796"," 0.39202636","-0.25431769","-0.25435984","-0.25433818","-0.25435067","-0.05731439","-0.19181738","-0.25434665","-0.25440221","-0.25427079","-0.15276414"," 0.07786707","-0.01658084","-0.25397588","-0.25424176"," 6.02762271","-0.25400260","-0.25428981","-0.25415204","-0.25423936"," 0.52396979","-0.19223790","-0.25442579","-0.24447406","-0.24306796","-0.00395818","-0.16785672","-0.25393917"," 0.92204864","-0.25401631","-0.25400991","-0.25426371","-0.25423926","-0.25426261"," 0.16913408"," 0.65257352"," 1.02385937","-0.25440262","-0.21273427","-0.25433753"," 0.37193593","-0.25422355","-0.25421438","-0.25437859","-0.25432194","-0.25423786","-0.25433410","-0.25416297","-0.25420417","-0.25436394","-0.25424563","-0.21076321","-0.25419840","-0.25418429","-0.25432435","-0.25425136","-0.25417562","-0.25428010"," 7.20454326","-0.25417478","-0.25413757","-0.25404990","-0.25415520","-0.25418764"," 3.92040497","-0.25422218","-0.25423343","-0.21276440","-0.25423004"
"18-Methyl-nonadecanol","-0.36294865"," 0.67572835","-0.36384837"," 0.51922838"," 0.71242472","-0.36455259","-0.36291166"," 0.63169066","-0.36262685","-0.36216139"," 1.02026724","-0.36365692","-0.36271762","-0.36327201"," 0.75804798"," 0.35512992","-0.36202462"," 0.53986857"," 1.31805974"," 8.53889930","-0.36245880","-0.36699881","-0.36560696","-0.36114746","-0.34857388","-0.36084395","-0.36208339","-0.36049052","-0.36187950","-0.35716381","-0.35961409"," 1.89279907","-0.36259826","-0.36014139","-0.35669647","-0.36421662","-0.36113337","-0.36021587","-0.35961431","-0.35958746","-0.36134613","-0.36258752"," 0.40300963","-0.36194686","-0.36422295","-0.32929253","-0.36354554","-0.36531852","-0.36090312","-0.36426486","-0.36452873","-0.36373247","-0.36393816","-0.02117532","-0.36330277","-0.36299114","-0.36405985","-0.36351066","-0.36382726","-0.35923726","-0.36495752","-0.36372549","-0.29032659","-0.36180207","-0.36498078","-0.31582532","-0.35916930","-0.35432502","-0.36106604","-0.35842387","-0.35500243","-0.36228423"," 0.99591304","-0.36100529","-0.36294998"," 2.67679547","-0.14481264","-0.04015479","-0.21287440"," 2.47158342","-0.24845143"," 1.48106007"," 0.52035285"," 1.01179549"," 0.77036098"," 2.33367851"," 0.64456958"," 0.89170561","-0.36229245","-0.35814564","-0.29749611","-0.36514442","-0.26015217","-0.36349425","-0.30148943","-0.36060434","-0.36037195","-0.36453522","-0.36309892"," 0.45664299","-0.36340712","-0.35906843","-0.36011306","-0.36416388"," 0.96507144","-0.35913107"," 1.32553715","-0.35960899","-0.36316001","-0.36130937","-0.35938907","-0.36203816","-0.35820079","-0.35936780","-0.35842443","-0.35620161","-0.35887141","-0.35969382","-0.36106367","-0.36056970","-0.36085483","-0.36033463","-0.36076899"
"1-Deoxypentitol","-0.48950739","-0.48906805","-0.49202946","-0.48690114"," 1.37038699","-0.49400353","-0.48940368","-0.48969734","-0.42881674","-0.48730054","-0.48720635"," 2.95415489","-0.48885976","-0.49041383","-0.48167857","-0.48785516","-0.48691715","-0.48097152","-0.33264411"," 0.35310133","-0.48813423","-0.46385521","-0.49695915","-0.48445830","-0.44921214"," 0.96989295","-0.48708190"," 0.90763552"," 0.25081061"," 0.76708921","-0.48015998"," 0.41147268","-0.48852516","-0.48163809","-0.47198131"," 1.00625226","-0.48441879","-0.48184686","-0.48016059"," 4.64791425","-0.34046644","-0.48849506"," 0.61570485","-0.48669917","-0.49307950"," 0.17160344","-0.49118059","-0.49615060","-0.48377338","-0.49319697","-0.49393665","-0.49170459","-0.49228118","-0.48964599","-0.49050005","-0.48962648","-0.49262230","-0.49108281","-0.49197030","-0.18731235","-0.49513862","-0.10752931","-0.43620172","-0.20028827"," 0.01912637"," 0.32354509","-0.47891314"," 2.55487988","-0.48423005","-0.47682354"," 1.14317663","-0.48764489","-0.47785376","-0.14837807"," 0.06038676","-0.08769846","-0.12374204"," 0.27220843"," 0.01841764","-0.08025828"," 0.52390613","-0.46272486"," 0.30732502"," 4.44196878"," 0.58944984"," 3.91308437","-0.38182450"," 2.03293854","-0.48766793"," 0.01149381"," 0.08898027","-0.49566256","-0.39070533","-0.49103682","-0.46628703","-0.48293584","-0.48228440","-0.49395486","-0.48992863","-0.48395317","-0.49079256","-0.47863039"," 0.58577066","-0.49291392","-0.48450525","-0.47880597","-0.48114873"," 3.26336806"," 0.52016460","-0.48491218"," 0.50186812","-0.48695510"," 0.72633920","-0.47946958","-0.28636642"," 2.24823010","-0.47807809","-0.48038347"," 1.36146486","-0.48283873","-0.48363800","-0.48217979","-0.48339739"
"1-Dodecanol","-0.1665177873","-0.1206533847","-0.0476196615","-0.0831292092","-0.0219473415"," 0.3889509222","-0.1940969859","-0.0193612218","-0.1344316290"," 0.0781892507","-0.0985492515","-0.1577393938","-0.8178002260","-0.0249621788","-0.0004883292","-0.2547652626","-0.1315996269","-0.2445140958","-0.2963340038"," 0.7243061786"," 0.3396983750"," 0.5362910154"," 0.3065921099"," 1.5889608873"," 8.0859859696","-0.3786123576"," 0.5792671015"," 0.3887922859","-0.3852413942","-0.8266900715","-0.0736428380"," 0.1146531474","-0.2987591414","-0.2908796358","-0.0453256057"," 0.3427257714"," 0.4794738959"," 0.4031167722"," 0.1163934397","-0.8267028291","-0.0878629698","-0.8267186208","-0.4152416641","-0.1137300506"," 2.5697895776","-0.8267198951","-0.8267236637","-0.8267329963","-0.8267097545","-0.8267274500","-0.8267288390","-0.8267246477","-0.8267257304","-0.2882907570","-0.2805376417","-0.3220655776","-0.3306384534","-0.2899936027","-0.2971810667","-0.8267009857","-0.8266678984","-0.8267246109"," 0.2220215815","-0.8267144864"," 0.4368855552","-0.8267354375","-0.0511171986","-0.8174591441"," 0.1204993775"," 0.2035622059"," 0.4686481642"," 0.0421871341"," 0.3377666767","-0.8267102923","-0.8267205288"," 2.4902263285"," 0.5464232595"," 0.7904017765","-0.8267262805"," 1.8969334184"," 1.0040328153"," 1.1070962523"," 0.1630252156"," 0.1897304344"," 0.3996363167"," 0.4764853893","-0.1737864035"," 0.1374736153","-0.0960783390"," 0.7248793734"," 0.5956088683"," 0.2368393465","-0.8267319153","-0.8267233937","-0.8266769188"," 0.1199708210"," 0.5346805890"," 2.6027525609"," 0.2219305126"," 0.4449777739","-0.4418004301"," 0.2591883155"," 0.0875684857"," 0.5156328289","-0.5291156349","-0.8267004267","-0.8072793381","-0.4113132196"," 0.2446661274","-0.7680823951","-0.4049227474","-0.0544572894","-0.3057166574","-0.4385074582","-0.4328603415","-0.1815755059","-0.3751561498","-0.4270077222","-0.5332187495","-0.3628480324","-0.4313800854","-0.4749151012","-0.4193698588"
"1-Dodecene","-0.181779742"," 1.154829341","-0.183607956","-0.179890505","-0.181987730"," 1.261850433","-0.181704565","-0.181917433","-0.181125840","-0.180180026","-0.180111748","-0.183218942","-0.181310286","-0.182436806","-0.176104739","-0.180582067","-0.179902111","-0.175592209","-0.178359519","-0.177029710","-0.180784358","-0.190009638","-0.187181416","-0.178119725","-0.152570285","-0.177502996","10.233678039","-0.176784824","-0.179607240","-0.170024981","-0.175003939","-0.178413792","-0.181067740","-0.176075395","-0.169075334","-0.184356246","-0.178091090","-0.176226734","-0.175004381","-0.174949809"," 3.385546973","-0.181045915","-0.180175660","-0.179744100","-0.184369114","-0.034274991","-0.075242470","-0.056836903","-0.005888633","-0.061424174","-0.022826962","-0.019878100","-0.055136802","-0.181880213","-0.182499309","-0.181866070","-0.184037695","-0.182921743","-0.183565067"," 0.060846968","-0.021545645"," 0.015196033","-0.004134807","-0.012576425"," 0.004944840"," 0.052774374","-0.174100123","-0.164256561","-0.177954276","-0.172585400","-0.165633066","-0.180429643","-0.173332189"," 0.114534864"," 0.137339339"," 0.049720244","-0.025575294"," 0.006975524","-0.003250632"," 0.003806657","-0.018529564","-0.162365465","-0.173704630","-0.166339475","-0.166009655","-0.179085120","-0.177825712","-0.179028641","-0.048664966"," 0.031273091","-0.044217544","-0.057389668","-0.055894433","-0.035194910","-0.056894921","-0.177016119","-0.176543899","-0.185003647","-0.182085094","-0.177753569","-0.182711340","-0.173895162","-0.176017828","-0.184249088","-0.178153764","-0.174022435","-0.175720666","-0.174993564","-0.182209218","-0.178448740","-0.174546697","-0.179929625","-0.172132108","-0.174503472","-0.172586554","-0.168069793","-0.173494806","-0.175165944","-0.177949462","-0.176945726","-0.177525105","-0.176468069","-0.177350691"
